date,min,max,median,q1,q3,stdev,count
2023-10-27T00:00:00.000Z,19,54,30,25,33,8.199,94
2023-10-28T00:00:00.000Z,10,72,35.5,27,54,15.956,132
2023-10-29T00:00:00.000Z,10,85,37,35,39,14.627,85
2023-10-30T00:00:00.000Z,12,31,25,16.5,28,6.335,77
2023-10-31T00:00:00.000Z,12,24,18,15,20,3.19,101
2023-11-01T00:00:00.000Z,20,43,24,22,26,4.24,72
2023-11-02T00:00:00.000Z,22,59,48,36,54,11.551,103
2023-11-03T00:00:00.000Z,26,87,52,30,71,19.133,132
2023-11-04T00:00:00.000Z,21,80,41,28,51.5,15.204,133
2023-11-05T00:00:00.000Z,11,44,25,22,28,5.656,143
2023-11-06T00:00:00.000Z,11,51,17,13,21,9.247,139
2023-11-07T00:00:00.000Z,13,36,25,20,29,5.813,141
2023-11-08T00:00:00.000Z,21,52,30,25,34,6.286,139
2023-11-09T00:00:00.000Z,11,44,23,16,28,8.157,135
2023-11-10T00:00:00.000Z,10,51,20.5,17,31,10.375,142
2023-11-11T00:00:00.000Z,13,55,25,19,34,9.753,138
2023-11-12T00:00:00.000Z,14,30,18,16,21.5,3.686,88
2023-11-13T00:00:00.000Z,15,39,24,18,28,6.332,138
2023-11-14T00:00:00.000Z,10,23,15,12,17,3.16,140
2023-11-15T00:00:00.000Z,10,28,17,13.5,22,4.677,121
2023-11-16T00:00:00.000Z,9,26,14,13,16,3.648,142
2023-11-17T00:00:00.000Z,10,31,24,13.5,28,7.178,129
2023-11-18T00:00:00.000Z,16,77,29,20,36,9.365,125
2023-11-19T00:00:00.000Z,24,44,32,27,38,5.624,127
2023-11-20T00:00:00.000Z,23,54,33,26,45,9.656,130
2023-11-21T00:00:00.000Z,25,70,41,29,56,14.305,135
2023-11-22T00:00:00.000Z,30,167,44,40.5,54,15.324,137
2023-11-23T00:00:00.000Z,16,173,31,22,39,15.539,130
2023-11-24T00:00:00.000Z,15,33,19,17.5,25,4.278,133
2023-11-25T00:00:00.000Z,19,51,28,24,41,10.009,138
2023-11-26T00:00:00.000Z,14,52,25,19,35.5,10.389,136
2023-11-27T00:00:00.000Z,12,60,20,15,38,11.686,139
2023-11-28T00:00:00.000Z,31,93,52,36,71,18.299,129
2023-11-29T00:00:00.000Z,36,71,52,39,59,10.415,139
2023-11-30T00:00:00.000Z,18,56,36,30,40,8.8,133
2023-12-01T00:00:00.000Z,12,43,19,17,30,8.096,131
2023-12-02T00:00:00.000Z,13,43,19,16,25,7.398,133
2023-12-03T00:00:00.000Z,13,48,20,16,28,8.089,142
2023-12-04T00:00:00.000Z,13,60,26,16,45,14.001,135
2023-12-05T00:00:00.000Z,17,75,37,28,42,12.736,133
2023-12-06T00:00:00.000Z,13,71,19,16,22,12.378,135
2023-12-07T00:00:00.000Z,10,31,18.5,14,21,4.669,116
2023-12-09T00:00:00.000Z,34,76,37,36,48,11.22,43
2023-12-10T00:00:00.000Z,36,78,43.5,39,54,10.537,84
2023-12-11T00:00:00.000Z,32,111,65,46.5,73,19.56,137
2023-12-12T00:00:00.000Z,27,111,56,30,70.5,22.433,133
2023-12-13T00:00:00.000Z,25,57,34,30,38,6.837,135
2023-12-14T00:00:00.000Z,20,68,35,25,49.5,14.637,132
2023-12-15T00:00:00.000Z,22,83,54,27.5,60.5,18.304,141
2023-12-16T00:00:00.000Z,18,69,41,27,45,12.259,130
2023-12-17T00:00:00.000Z,16,41,21,18,24,5.655,139
2023-12-18T00:00:00.000Z,13,67,33,19.5,45,14.955,132
2023-12-19T00:00:00.000Z,15,61,33,18,45,14.618,132
2023-12-20T00:00:00.000Z,17,49,22,19,25,5.53,131
2023-12-21T00:00:00.000Z,11,36,22,16,26,6.741,141
2023-12-22T00:00:00.000Z,16,56,30,24,33,7.388,134
2023-12-23T00:00:00.000Z,26,53,33,31,46,8.13,135
2023-12-24T00:00:00.000Z,26,77,36,31,38,5.405,133
2023-12-25T00:00:00.000Z,34,74,51,38,62,11.446,129
2023-12-26T00:00:00.000Z,33,81,54,41,61.5,12.078,125
2023-12-27T00:00:00.000Z,25,79,41,31,52,12.974,139
2023-12-28T00:00:00.000Z,22,88,41,29,64,20.025,139
2023-12-29T00:00:00.000Z,19,78,52,28,70,19.62,135
2023-12-30T00:00:00.000Z,21,181,40,29,52,19.625,129
2023-12-31T00:00:00.000Z,18,267,43,30,51,24.5,132
2024-01-01T00:00:00.000Z,16,67,25,17,30,16.841,47
2024-01-02T00:00:00.000Z,16,56,38.5,19,48,14.199,102
2024-01-04T00:00:00.000Z,19,55,35,28,40,8.647,117
2024-01-05T00:00:00.000Z,19,87,38.5,25,48,15.883,132
2024-01-06T00:00:00.000Z,22,71,49,27,57.5,15.889,129
2024-01-07T00:00:00.000Z,24,67,42,28,52,12.63,137
2024-01-08T00:00:00.000Z,36,435,48,41,69,37.879,118
2024-01-09T00:00:00.000Z,45,101,59,51,65,12.178,132
2024-01-10T00:00:00.000Z,38,118,54,46,62,19.123,119
2024-01-12T00:00:00.000Z,38,45,43,42,44,1.814,15
2024-01-13T00:00:00.000Z,32,83,44,36,52,12.546,87
2024-01-14T00:00:00.000Z,35,87,49.5,42,62,13.468,134
2024-01-29T00:00:00.000Z,33,104,48,43,84,21.944,136
2024-01-30T00:00:00.000Z,54,105,79,73,83,10.886,131
2024-01-31T00:00:00.000Z,56,102,77,67,80,11.637,131
2024-02-01T00:00:00.000Z,26,93,38,30.5,47,17.368,125
2024-02-02T00:00:00.000Z,28,45,36,33,41,4.952,134
2024-02-03T00:00:00.000Z,32,39,36,35,37,1.837,125
2024-02-04T00:00:00.000Z,27,45,35,32,39,4.409,128
2024-02-05T00:00:00.000Z,32,100,45,36.5,52,10.021,132
2024-02-06T00:00:00.000Z,33,49,38,36,42,4.085,134
2024-02-07T00:00:00.000Z,31,42,36,35,38,2.238,138
2024-02-08T00:00:00.000Z,28,37,31,30,34,2.358,134
2024-02-09T00:00:00.000Z,25,44,31,30,36,4.732,130
2024-02-10T00:00:00.000Z,34,65,51,46,54,7.236,135
2024-02-11T00:00:00.000Z,37,75,53,45,63.5,10.066,132
2024-02-12T00:00:00.000Z,44,116,70,59,88,17.23,130
2024-02-13T00:00:00.000Z,42,129,91,69,101,23.205,123
2024-02-14T00:00:00.000Z,59,135,80,65,94,18.148,137
2024-02-15T00:00:00.000Z,31,114,70,36,88,26.89,126
2024-02-16T00:00:00.000Z,36,68,57,42,64,10.558,54
2024-02-18T00:00:00.000Z,25,32,27,26,29,1.858,83
2024-02-19T00:00:00.000Z,16,28,19,18,22,2.97,140
2024-02-20T00:00:00.000Z,16,28,22,20,24,2.523,122
2024-02-21T00:00:00.000Z,16,24,21,19,22,1.468,130
2024-02-22T00:00:00.000Z,19,41,22,21,24,2.741,130
2024-02-23T00:00:00.000Z,19,29,23,21,26,3.035,133
2024-02-24T00:00:00.000Z,20,34,28,22,30,4.357,133
2024-02-25T00:00:00.000Z,19,40,26,22,31,5.689,126
2024-02-26T00:00:00.000Z,28,62,39,34.5,45,8.506,124
2024-02-27T00:00:00.000Z,28,73,45,33,57,12.889,123
2024-02-28T00:00:00.000Z,24,45,30,26,35,5.372,134
2024-02-29T00:00:00.000Z,21,33,25,22,26,2.869,131
2024-03-01T00:00:00.000Z,20,42,30,27,33,5.483,109
2024-03-02T00:00:00.000Z,25,48,38,30,43,6.555,126
2024-03-03T00:00:00.000Z,28,45,33,30,42,5.931,133
2024-03-04T00:00:00.000Z,25,42,30,28,36,5.013,122
2024-03-05T00:00:00.000Z,24,34,28,26,30,2.412,131
2024-03-06T00:00:00.000Z,24,37,28,25,32,3.705,131
2024-03-07T00:00:00.000Z,28,52,33,30,41,7.011,124
2024-03-08T00:00:00.000Z,21,36,29,28,31,3.389,133
2024-03-09T00:00:00.000Z,16,38,23,19,33,6.754,119
2024-03-10T00:00:00.000Z,15,45,35,20,43,11.136,123
2024-03-11T00:00:00.000Z,36,48,43,41,45,3.146,132
2024-03-12T00:00:00.000Z,31,41,35,33,37,2.526,135
2024-03-13T00:00:00.000Z,20,36,25.5,22,31,4.963,128
2024-03-14T00:00:00.000Z,24,39,28,26,32,3.994,125
2024-03-15T00:00:00.000Z,23,39,25,24,28,2.796,126
2024-03-16T00:00:00.000Z,22,37,28,28,31.5,3.022,133
2024-03-17T00:00:00.000Z,19,33,29,25,30,3.507,132
2024-03-18T00:00:00.000Z,32,44,36,33,37,3.14,133
2024-03-19T00:00:00.000Z,29,56,37,34,39,4.4,119
2024-03-20T00:00:00.000Z,28,189,47.5,39,63,35.204,132
2024-03-21T00:00:00.000Z,38,109,50,46,74.5,19.655,117
2024-03-23T00:00:00.000Z,21,35,27,24,30,3.655,117
2024-03-24T00:00:00.000Z,26,35,30,28,32,1.87,121
2024-03-25T00:00:00.000Z,26,35,30,28,31,2.037,127
2024-03-26T00:00:00.000Z,19,35,25.5,22,28,3.856,118
2024-03-27T00:00:00.000Z,21,40,26,25,28,3.837,114
2024-03-28T00:00:00.000Z,22,31,26,25,28,1.963,124
2024-03-29T00:00:00.000Z,25,36,30,27,33,3.456,55
2024-03-30T00:00:00.000Z,12,26,20,19,22,3.318,118
2024-03-31T00:00:00.000Z,16,28,21,16,24,3.806,124
2024-04-01T00:00:00.000Z,25,64,39.5,28,49,11.986,120
2024-04-02T00:00:00.000Z,25,43,36,28,39,5.87,135
2024-04-03T00:00:00.000Z,22,47,29,24,43,9.108,126
2024-04-04T00:00:00.000Z,25,48,29.5,26,39,6.926,130
2024-04-05T00:00:00.000Z,28,43,36,34,38,2.963,120
2024-04-06T00:00:00.000Z,27,39,29,28,36,4.075,110
2024-04-07T00:00:00.000Z,26,35,28,28,31,2.287,109
2024-04-08T00:00:00.000Z,12,33,18,13,26,6.896,113
2024-04-09T00:00:00.000Z,13,30,20,17,22.5,4.711,120
2024-04-10T00:00:00.000Z,19,108,47,28,58,21.303,106
2024-04-11T00:00:00.000Z,33,83,60,36,71,16.5,121
2024-04-12T00:00:00.000Z,28,49,39,30,42,6.417,115
2024-04-13T00:00:00.000Z,30,42,35,34,39,3.025,119
2024-04-14T00:00:00.000Z,30,36,33,32,35,1.845,128
2024-04-15T00:00:00.000Z,25,36,30,27,32,2.957,111
2024-04-16T00:00:00.000Z,25,33,28,26,30,1.983,121
2024-04-17T00:00:00.000Z,21,33,27,25,31,3.738,127
2024-04-18T00:00:00.000Z,19,52,30,21,41,10.522,105
2024-04-19T00:00:00.000Z,28,62,38.5,29,54,11.228,110
2024-04-20T00:00:00.000Z,37,63,51,40,57,8.676,107
2024-04-21T00:00:00.000Z,36,60,43,39.5,48,5.224,109
2024-04-22T00:00:00.000Z,28,48,35.5,31,43,6.359,118
2024-04-23T00:00:00.000Z,23,50,26,25,40.5,8.565,116
2024-04-24T00:00:00.000Z,16,33,22,18,28.5,5.381,113
2024-04-25T00:00:00.000Z,13,26,18,16,19,3.149,108
2024-04-26T00:00:00.000Z,16,30,21,18,27,4.75,128
2024-04-27T00:00:00.000Z,14,38,27.5,18.5,34,8.185,120
2024-04-28T00:00:00.000Z,12,31,16,13,24,6.209,131
2024-04-29T00:00:00.000Z,12,30,22,13,25,6.095,107
2024-04-30T00:00:00.000Z,21,74,39,26.5,57,16.93,105
2024-05-01T00:00:00.000Z,33,68,45,40,57,9.992,110
2024-05-02T00:00:00.000Z,33,64,40,36,48,7.143,123
2024-05-03T00:00:00.000Z,23,56,34,28,40,8.284,115
2024-05-04T00:00:00.000Z,34,53,44,40,48,4.783,81
2024-05-05T00:00:00.000Z,43,49,45,45,46,1.207,106
2024-05-06T00:00:00.000Z,42,50,45,44,46,2.142,38